"category","entrance.rate","pers_year","school_id","year"
"White ","* ","Class of 2014","0156311","201415"
"English Language Learners ","36.7 ","Class of 2014","0156311","201415"
"Eligible for Free or ","46.1 ","Class of 2014","0156311","201415"
"Reduced-Price Meals","","Class of 2014","0156311","201415"
"Students with Disabilities ","15.8 ","Class of 2014","0156311","201415"
"School ","46.1 ","Class of 2014","0156311","201415"
"District ","52.8 ","Class of 2014","0156311","201415"
"Female ","46.6 ","Class of 2015","0156311","201516"
"Male ","37.8 ","Class of 2015","0156311","201516"
"Black or African American ","48.8 ","Class of 2015","0156311","201516"
"Hispanic or Latino ","* ","Class of 2015","0156311","201516"
"White ","* ","Class of 2015","0156311","201516"
"English Language Learners ","38.6 ","Class of 2015","0156311","201516"
"Eligible for Free or ","42.4 ","Class of 2015","0156311","201516"
"Reduced-Price Meals","","Class of 2015","0156311","201516"
"Students with Disabilities ","* ","Class of 2015","0156311","201516"
"School ","42.1 ","Class of 2015","0156311","201516"
"District ","56.8 ","Class of 2015","0156311","201516"
"Female ","69.4 ","Class of 2013","0176111","201314"
"Male ","63.0 ","Class of 2013","0176111","201314"
"Black or African American ","* ","Class of 2013","0176111","201314"
"Hispanic or Latino ","39.5 ","Class of 2013","0176111","201314"
"White ","72.5 ","Class of 2013","0176111","201314"
"English Language Learners ","* ","Class of 2013","0176111","201314"
"Eligible for Free or ","44.4 ","Class of 2013","0176111","201314"
"Reduced-Price Meals","","Class of 2013","0176111","201314"
"Students with Disabilities ","38.9 ","Class of 2013","0176111","201314"
"School ","66.2 ","Class of 2013","0176111","201314"
"District ","65.4 ","Class of 2013","0176111","201314"
"Female ","70.2 ","Class of 2014","0176111","201415"
"Male ","56.8 ","Class of 2014","0176111","201415"
"Black or African American ","* ","Class of 2014","0176111","201415"
"Hispanic or Latino ","44.2 ","Class of 2014","0176111","201415"
"White ","67.9 ","Class of 2014","0176111","201415"
"English Language Learners ","* ","Class of 2014","0176111","201415"
"Eligible for Free or ","43.5 ","Class of 2014","0176111","201415"
"Reduced-Price Meals","","Class of 2014","0176111","201415"
"Students with Disabilities ","26.1 ","Class of 2014","0176111","201415"
"School ","63.4 ","Class of 2014","0176111","201415"
"District ","64.5 ","Class of 2014","0176111","201415"
"Female ","72.9 ","Class of 2015","0176111","201516"
"Male ","56.7 ","Class of 2015","0176111","201516"
"Black or African American ","64.3 ","Class of 2015","0176111","201516"
"Hispanic or Latino ","60.5 ","Class of 2015","0176111","201516"
"White ","64.9 ","Class of 2015","0176111","201516"
"English Language Learners ","* ","Class of 2015","0176111","201516"
"Eligible for Free or ","52.7 ","Class of 2015","0176111","201516"
"Reduced-Price Meals","","Class of 2015","0176111","201516"
"Students with Disabilities ","22.9 ","Class of 2015","0176111","201516"
"School ","65.0 ","Class of 2015","0176111","201516"
"District ","66.0 ","Class of 2015","0176111","201516"
"Female ","76.5 ","Class of 2013","0176211","201314"
"Male ","57.2 ","Class of 2013","0176211","201314"
"Black or African American ","* ","Class of 2013","0176211","201314"
"Hispanic or Latino ","53.1 ","Class of 2013","0176211","201314"
"White ","69.3 ","Class of 2013","0176211","201314"
"English Language Learners ","* ","Class of 2013","0176211","201314"
"Eligible for Free or ","46.7 ","Class of 2013","0176211","201314"
"Reduced-Price Meals","","Class of 2013","0176211","201314"
"Students with Disabilities ","29.3 ","Class of 2013","0176211","201314"
"School ","65.9 ","Class of 2013","0176211","201314"
"District ","65.4 ","Class of 2013","0176211","201314"
"Female ","75.3 ","Class of 2014","0176211","201415"
"Male ","57.3 ","Class of 2014","0176211","201415"
"Black or African American ","78.3 ","Class of 2014","0176211","201415"
"Hispanic or Latino ","50.0 ","Class of 2014","0176211","201415"
"White ","68.6 ","Class of 2014","0176211","201415"
"English Language Learners ","* ","Class of 2014","0176211","201415"
"Eligible for Free or ","50.8 ","Class of 2014","0176211","201415"
"Reduced-Price Meals","","Class of 2014","0176211","201415"
"Students with Disabilities ","45.6 ","Class of 2014","0176211","201415"
"School ","67.0 ","Class of 2014","0176211","201415"
"District ","64.5 ","Class of 2014","0176211","201415"
"Female ","78.8 ","Class of 2015","0176211","201516"
"Male ","59.6 ","Class of 2015","0176211","201516"
"Black or African American ","* ","Class of 2015","0176211","201516"
"Hispanic or Latino ","51.4 ","Class of 2015","0176211","201516"
"White ","73.4 ","Class of 2015","0176211","201516"
"English Language Learners ","* ","Class of 2015","0176211","201516"
"Eligible for Free or ","51.4 ","Class of 2015","0176211","201516"
"Reduced-Price Meals","","Class of 2015","0176211","201516"
"Students with Disabilities ","24.2 ","Class of 2015","0176211","201516"
"School ","69.1 ","Class of 2015","0176211","201516"
"District ","66.0 ","Class of 2015","0176211","201516"
"Female ","92.6 ","Class of 2013","0186111","201314"
"Male ","88.7 ","Class of 2013","0186111","201314"
"Black or African American ","* ","Class of 2013","0186111","201314"
"Hispanic or Latino ","* ","Class of 2013","0186111","201314"
"White ","90.7 ","Class of 2013","0186111","201314"
"English Language Learners ","* ","Class of 2013","0186111","201314"
"Eligible for Free or ","89.7 ","Class of 2013","0186111","201314"
"Reduced-Price Meals","","Class of 2013","0186111","201314"
"Students with Disabilities ","* ","Class of 2013","0186111","201314"
"School ","90.7 ","Class of 2013","0186111","201314"
"District ","90.7 ","Class of 2013","0186111","201314"
"Female ","92.1 ","Class of 2014","0186111","201415"
"Male ","78.8 ","Class of 2014","0186111","201415"
"Black or African American ","* ","Class of 2014","0186111","201415"
"Hispanic or Latino ","* ","Class of 2014","0186111","201415"
"White ","87.1 ","Class of 2014","0186111","201415"
"English Language Learners ","* ","Class of 2014","0186111","201415"
"Eligible for Free or ","81.3 ","Class of 2014","0186111","201415"
"Reduced-Price Meals","","Class of 2014","0186111","201415"
"Students with Disabilities ","66.7 ","Class of 2014","0186111","201415"
"School ","85.5 ","Class of 2014","0186111","201415"
"District ","85.5 ","Class of 2014","0186111","201415"
"Female ","86.1 ","Class of 2015","0186111","201516"
"Male ","84.6 ","Class of 2015","0186111","201516"
"Black or African American ","* ","Class of 2015","0186111","201516"
"Hispanic or Latino ","* ","Class of 2015","0186111","201516"
"White ","86.1 ","Class of 2015","0186111","201516"
"English Language Learners ","* ","Class of 2015","0186111","201516"
"Eligible for Free or ","73.9 ","Class of 2015","0186111","201516"
"Reduced-Price Meals","","Class of 2015","0186111","201516"
"Students with Disabilities ","65.0 ","Class of 2015","0186111","201516"
"School ","85.4 ","Class of 2015","0186111","201516"
"District ","85.4 ","Class of 2015","0186111","201516"
"Female ","86.4 ","Class of 2013","0236111","201314"
"Male ","71.2 ","Class of 2013","0236111","201314"
"Black or African American ","N/A ","Class of 2013","0236111","201314"
"Hispanic or Latino ","* ","Class of 2013","0236111","201314"
"White ","78.0 ","Class of 2013","0236111","201314"
"English Language Learners ","N/A ","Class of 2013","0236111","201314"
"Eligible for Free or ","* ","Class of 2013","0236111","201314"
"Reduced-Price Meals","","Class of 2013","0236111","201314"
"Students with Disabilities ","* ","Class of 2013","0236111","201314"
"School ","78.8 ","Class of 2013","0236111","201314"
"District ","78.8 ","Class of 2013","0236111","201314"
"Female ","87.7 ","Class of 2014","0236111","201415"
"Male ","68.1 ","Class of 2014","0236111","201415"
"Black or African American ","* ","Class of 2014","0236111","201415"
"Hispanic or Latino ","* ","Class of 2014","0236111","201415"
"White ","78.4 ","Class of 2014","0236111","201415"
"English Language Learners ","* ","Class of 2014","0236111","201415"
"Eligible for Free or ","* ","Class of 2014","0236111","201415"
"Reduced-Price Meals","","Class of 2014","0236111","201415"
"Students with Disabilities ","52.0 ","Class of 2014","0236111","201415"
"School ","77.6 ","Class of 2014","0236111","201415"
"District ","77.6 ","Class of 2014","0236111","201415"
"Female ","82.0 ","Class of 2015","0236111","201516"
"Male ","82.9 ","Class of 2015","0236111","201516"
"Black or African American ","* ","Class of 2015","0236111","201516"
"Hispanic or Latino ","* ","Class of 2015","0236111","201516"
"White ","83.8 ","Class of 2015","0236111","201516"
"English Language Learners ","N/A ","Class of 2015","0236111","201516"
"Eligible for Free or ","* ","Class of 2015","0236111","201516"
"Reduced-Price Meals","","Class of 2015","0236111","201516"
"Students with Disabilities ","* ","Class of 2015","0236111","201516"
"School ","82.5 ","Class of 2015","0236111","201516"
"District ","80.6 ","Class of 2015","0236111","201516"
"Female ","92.7 ","Class of 2013","0256111","201314"
"Male ","78.0 ","Class of 2013","0256111","201314"
"Black or African American ","* ","Class of 2013","0256111","201314"
"Hispanic or Latino ","* ","Class of 2013","0256111","201314"
"White ","86.4 ","Class of 2013","0256111","201314"
"English Language Learners ","* ","Class of 2013","0256111","201314"
"Eligible for Free or ","60.0 ","Class of 2013","0256111","201314"
"Reduced-Price Meals","","Class of 2013","0256111","201314"
"Students with Disabilities ","62.2 ","Class of 2013","0256111","201314"
"School ","85.4 ","Class of 2013","0256111","201314"
"District ","83.2 ","Class of 2013","0256111","201314"
"Female ","87.8 ","Class of 2014","0256111","201415"
"Male ","81.5 ","Class of 2014","0256111","201415"
"Black or African American ","* ","Class of 2014","0256111","201415"
"Hispanic or Latino ","* ","Class of 2014","0256111","201415"
"White ","85.0 ","Class of 2014","0256111","201415"
"English Language Learners ","* ","Class of 2014","0256111","201415"
"Eligible for Free or ","78.6 ","Class of 2014","0256111","201415"
"Reduced-Price Meals","","Class of 2014","0256111","201415"
"Students with Disabilities ","67.4 ","Class of 2014","0256111","201415"
"School ","84.7 ","Class of 2014","0256111","201415"
"District ","83.4 ","Class of 2014","0256111","201415"
"Female ","93.6 ","Class of 2015","0256111","201516"
"Male ","83.7 ","Class of 2015","0256111","201516"
"Black or African American ","* ","Class of 2015","0256111","201516"
"Hispanic or Latino ","* ","Class of 2015","0256111","201516"
"White ","89.0 ","Class of 2015","0256111","201516"
"English Language Learners ","* ","Class of 2015","0256111","201516"
"Eligible for Free or ","75.0 ","Class of 2015","0256111","201516"
"Reduced-Price Meals","","Class of 2015","0256111","201516"
"Students with Disabilities ","50.0 ","Class of 2015","0256111","201516"
"School ","88.6 ","Class of 2015","0256111","201516"
"District ","84.8 ","Class of 2015","0256111","201516"
"Female ","73.8 ","Class of 2013","0276111","201314"
"Male ","78.5 ","Class of 2013","0276111","201314"
"Black or African American ","78.5 ","Class of 2013","0276111","201314"
"Hispanic or Latino ","* ","Class of 2013","0276111","201314"
"White ","77.1 ","Class of 2013","0276111","201314"
"English Language Learners ","* ","Class of 2013","0276111","201314"
"Eligible for Free or ","53.3 ","Class of 2013","0276111","201314"
"Reduced-Price Meals","","Class of 2013","0276111","201314"
"Students with Disabilities ","* ","Class of 2013","0276111","201314"
"School ","76.2 ","Class of 2013","0276111","201314"
"District ","76.2 ","Class of 2013","0276111","201314"
"Female ","82.8 ","Class of 2014","0276111","201415"
"Male ","70.0 ","Class of 2014","0276111","201415"
"Black or African American ","N/A ","Class of 2014","0276111","201415"
"Hispanic or Latino ","* ","Class of 2014","0276111","201415"
"White ","77.1 ","Class of 2014","0276111","201415"
"English Language Learners ","* ","Class of 2014","0276111","201415"
"Eligible for Free or ","40.7 ","Class of 2014","0276111","201415"
"Reduced-Price Meals","","Class of 2014","0276111","201415"
"Students with Disabilities ","* ","Class of 2014","0276111","201415"
"School ","75.8 ","Class of 2014","0276111","201415"
"District ","75.8 ","Class of 2014","0276111","201415"
"Female ","88.2 ","Class of 2015","0276111","201516"
"Male ","70.7 ","Class of 2015","0276111","201516"
"Black or African American ","* ","Class of 2015","0276111","201516"
"Hispanic or Latino ","* ","Class of 2015","0276111","201516"
"White ","78.3 ","Class of 2015","0276111","201516"
"English Language Learners ","78.3 ","Class of 2015","0276111","201516"
"Eligible for Free or ","69.0 ","Class of 2015","0276111","201516"
"Reduced-Price Meals","","Class of 2015","0276111","201516"
"Students with Disabilities ","* ","Class of 2015","0276111","201516"
"School ","79.0 ","Class of 2015","0276111","201516"
"District ","79.0 ","Class of 2015","0276111","201516"
"Female ","82.4 ","Class of 2013","0286111","201314"
"Male ","69.8 ","Class of 2013","0286111","201314"
"Black or African American ","* ","Class of 2013","0286111","201314"
"Hispanic or Latino ","* ","Class of 2013","0286111","201314"
"White ","76.9 ","Class of 2013","0286111","201314"
"English Language Learners ","* ","Class of 2013","0286111","201314"
"Eligible for Free or ","48.6 ","Class of 2013","0286111","201314"
"Reduced-Price Meals","","Class of 2013","0286111","201314"
"Students with Disabilities ","41.4 ","Class of 2013","0286111","201314"
"School ","76.3 ","Class of 2013","0286111","201314"
"District ","76.3 ","Class of 2013","0286111","201314"
"Female ","87.5 ","Class of 2014","0286111","201415"
"Male ","67.0 ","Class of 2014","0286111","201415"
"Black or African American ","* ","Class of 2014","0286111","201415"
"Hispanic or Latino ","* ","Class of 2014","0286111","201415"
"White ","77.7 ","Class of 2014","0286111","201415"
"English Language Learners ","* ","Class of 2014","0286111","201415"
"Eligible for Free or ","62.8 ","Class of 2014","0286111","201415"
"Reduced-Price Meals","","Class of 2014","0286111","201415"
